,PRECINCTID,COUNTYFIPS_x,cousubname,elexpre,G20PRERTRU_x,G20PREDBID_x,G20PRELJOR_x,G20PREGHAW_x,G20PRENDEL_x,G20PRETBLA_x,G20USSRJAM_x,G20USSDPET_x,G20USSGSQU_x,G20USSNDER_x,G20USSTWIL_x,geometry,unique_ID,county_code,city_town_code,ward_number,precinct_number,precinct_label,G20PRERTRU_y,G20PREDBID_y,G20PRENDEL_y,G20USSNDER_y,G20USSTWIL_y,G20PRETBLA_y,G20PRELJOR_y,G20PREGHAW_y,G20USSGSQU_y,G20USSDPET_y,G20USSRJAM_y,COUNTYFIPS_y,city_town_name_x,join_id,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description),city_town_name_y,_merge,final
4756,,,,,,,,,,,,,,,,,WP-021-74440-00002,11.0,36.0,00,002,,744.0,631.0,0.0,3.0,2.0,3.0,13.0,2.0,4.0,570.0,803.0,021,SODUS TOWNSHIP,021-SODUS TOWNSHIP,61.0,26.0,21,74440,0.0,0.0,SODUS TOWNSHIP,SODUS TOWNSHIP,both,right_only
4757,,,,,,,,,,,,,,,,,WP-021-74440-00003,11.0,36.0,00,003,,602.0,523.0,0.0,1.0,5.0,1.0,12.0,1.0,3.0,479.0,633.0,021,SODUS TOWNSHIP,021-SODUS TOWNSHIP,61.0,26.0,21,74440,0.0,0.0,SODUS TOWNSHIP,SODUS TOWNSHIP,both,right_only
4758,,,,,,,,,,,,,,,,,WP-021-74440-00004,11.0,36.0,00,004,,1143.0,909.0,0.0,3.0,16.0,7.0,28.0,2.0,9.0,820.0,1222.0,021,SODUS TOWNSHIP,021-SODUS TOWNSHIP,61.0,26.0,21,74440,0.0,0.0,SODUS TOWNSHIP,SODUS TOWNSHIP,both,right_only
4759,,,,,,,,,,,,,,,,,WP-025-05920-04008,13.0,54.0,04,008,,812.0,720.0,1.0,0.0,14.0,3.0,17.0,2.0,8.0,672.0,852.0,025,BATTLE CREEK CITY,025-BATTLE CREEK CITY,61.0,26.0,25,05920,0.0,0.0,BATTLE CREEK CITY,BATTLE CREEK CITY,both,right_only
4760,,,,,,,,,,,,,,,,,WP-051-32320-00001,26.0,54.0,00,001,,457.0,263.0,0.0,0.0,3.0,0.0,15.0,2.0,4.0,268.0,438.0,051,GLADWIN CITY,051-GLADWIN CITY,61.0,26.0,51,32320,0.0,0.0,GLADWIN CITY,GLADWIN CITY,both,right_only
4761,,,,,,,,,,,,,,,,,WP-051-32320-00002,26.0,54.0,00,002,,453.0,228.0,0.0,2.0,6.0,0.0,10.0,4.0,5.0,247.0,428.0,051,GLADWIN CITY,051-GLADWIN CITY,61.0,26.0,51,32320,0.0,0.0,GLADWIN CITY,GLADWIN CITY,both,right_only
4762,,,,,,,,,,,,,,,,,WP-115-55020-00003N,58.0,56.0,00,003,N,388.0,389.0,1.0,7.0,16.0,0.0,8.0,3.0,9.0,382.0,372.0,115,MONROE CITY,115-MONROE CITY,61.0,26.0,115,55020,0.0,0.0,MONROE CITY,MONROE CITY,both,right_only
4763,,,,,,,,,,,,,,,,,WP-115-55020-00003S,58.0,56.0,00,003,S,204.0,394.0,0.0,4.0,15.0,5.0,10.0,2.0,10.0,390.0,185.0,115,MONROE CITY,115-MONROE CITY,61.0,26.0,115,55020,0.0,0.0,MONROE CITY,MONROE CITY,both,right_only
4764,,,,,,,,,,,,,,,,,WP-129-69680-00001,65.0,52.0,00,001,,170.0,67.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,75.0,164.0,129,ROSE CITY,129-ROSE CITY CITY,61.0,26.0,129,69680,0.0,0.0,ROSE CITY CITY,ROSE CITY CITY,both,right_only
4765,,,,,,,,,,,,,,,,,WP-129-85580-00001,65.0,54.0,00,001,,667.0,384.0,3.0,4.0,8.0,0.0,21.0,2.0,10.0,410.0,634.0,129,WEST BRANCH CITY,129-WEST BRANCH CITY,61.0,26.0,129,85580,0.0,0.0,WEST BRANCH CITY,WEST BRANCH CITY,both,right_only
